ref_id,asset,stock_name,strike_price,option_type,expiry,exchange,lot_size,tick_size
1069703,ADANIENT,ADANIENT26FEB2280CE,228000,CE,20260224,NSE,309,5
1069704,ADANIENT,ADANIENT26FEB2280PE,228000,PE,20260224,NSE,309,5
1136094,ADANIENT,ADANIENT26FEB2300CE,230000,CE,20260224,NSE,309,5
1136095,ADANIENT,ADANIENT26FEB2300PE,230000,PE,20260224,NSE,309,5
1069705,ADANIENT,ADANIENT26FEB2320CE,232000,CE,20260224,NSE,309,5
1069706,ADANIENT,ADANIENT26FEB2320PE,232000,PE,20260224,NSE,309,5
1136096,ADANIENT,ADANIENT26FEB2340CE,234000,CE,20260224,NSE,309,5
1136097,ADANIENT,ADANIENT26FEB2340PE,234000,PE,20260224,NSE,309,5
1069707,ADANIENT,ADANIENT26FEB2360CE,236000,CE,20260224,NSE,309,5
1069708,ADANIENT,ADANIENT26FEB2360PE,236000,PE,20260224,NSE,309,5
1136098,ADANIENT,ADANIENT26FEB2380CE,238000,CE,20260224,NSE,309,5
1136099,ADANIENT,ADANIENT26FEB2380PE,238000,PE,20260224,NSE,309,5
1069709,ADANIENT,ADANIENT26FEB2400CE,240000,CE,20260224,NSE,309,5
1069710,ADANIENT,ADANIENT26FEB2400PE,240000,PE,20260224,NSE,309,5
1136100,ADANIENT,ADANIENT26FEB2420CE,242000,CE,20260224,NSE,309,5
1136101,ADANIENT,ADANIENT26FEB2420PE,242000,PE,20260224,NSE,309,5
1069711,ADANIENT,ADANIENT26FEB2440CE,244000,CE,20260224,NSE,309,5
1069712,ADANIENT,ADANIENT26FEB2440PE,244000,PE,20260224,NSE,309,5
1136102,ADANIENT,ADANIENT26FEB2460CE,246000,CE,20260224,NSE,309,5
1136103,ADANIENT,ADANIENT26FEB2460PE,246000,PE,20260224,NSE,309,5
1069713,ADANIENT,ADANIENT26FEB2480CE,248000,CE,20260224,NSE,309,5
1069714,ADANIENT,ADANIENT26FEB2480PE,248000,PE,20260224,NSE,309,5
1136104,ADANIENT,ADANIENT26FEB2500CE,250000,CE,20260224,NSE,309,5
1136105,ADANIENT,ADANIENT26FEB2500PE,250000,PE,20260224,NSE,309,5
1069715,ADANIENT,ADANIENT26FEB2520CE,252000,CE,20260224,NSE,309,5
1069716,ADANIENT,ADANIENT26FEB2520PE,252000,PE,20260224,NSE,309,5
1136106,ADANIENT,ADANIENT26FEB2540CE,254000,CE,20260224,NSE,309,5
1136107,ADANIENT,ADANIENT26FEB2540PE,254000,PE,20260224,NSE,309,5
1069717,ADANIENT,ADANIENT26FEB2560CE,256000,CE,20260224,NSE,309,5
1069718,ADANIENT,ADANIENT26FEB2560PE,256000,PE,20260224,NSE,309,5
1136108,ADANIENT,ADANIENT26FEB2580CE,258000,CE,20260224,NSE,309,5
1136109,ADANIENT,ADANIENT26FEB2580PE,258000,PE,20260224,NSE,309,5
1069719,ADANIENT,ADANIENT26FEB2600CE,260000,CE,20260224,NSE,309,5
1069720,ADANIENT,ADANIENT26FEB2600PE,260000,PE,20260224,NSE,309,5
1136110,ADANIENT,ADANIENT26FEB2620CE,262000,CE,20260224,NSE,309,5
1136111,ADANIENT,ADANIENT26FEB2620PE,262000,PE,20260224,NSE,309,5
1069721,ADANIENT,ADANIENT26FEB2640CE,264000,CE,20260224,NSE,309,5
1069722,ADANIENT,ADANIENT26FEB2640PE,264000,PE,20260224,NSE,309,5
1136112,ADANIENT,ADANIENT26FEB2660CE,266000,CE,20260224,NSE,309,5
1136113,ADANIENT,ADANIENT26FEB2660PE,266000,PE,20260224,NSE,309,5
1069723,ADANIENT,ADANIENT26FEB2680CE,268000,CE,20260224,NSE,309,5
1069724,ADANIENT,ADANIENT26FEB2680PE,268000,PE,20260224,NSE,309,5
1136114,ADANIENT,ADANIENT26FEB2700CE,270000,CE,20260224,NSE,309,5
1136115,ADANIENT,ADANIENT26FEB2700PE,270000,PE,20260224,NSE,309,5
1069725,ADANIENT,ADANIENT26FEB2720CE,272000,CE,20260224,NSE,309,5
1069726,ADANIENT,ADANIENT26FEB2720PE,272000,PE,20260224,NSE,309,5
1136116,ADANIENT,ADANIENT26FEB2740CE,274000,CE,20260224,NSE,309,5
1136117,ADANIENT,ADANIENT26FEB2740PE,274000,PE,20260224,NSE,309,5
1069727,ADANIENT,ADANIENT26FEB2760CE,276000,CE,20260224,NSE,309,5
