ref_id,asset,stock_name,strike_price,option_type,expiry,exchange,lot_size,tick_size
1136350,ADANIGREEN,ADANIGREEN26FEB940PE,94000,PE,20260224,NSE,600,5
1136351,ADANIGREEN,ADANIGREEN26FEB950CE,95000,CE,20260224,NSE,600,5
1136352,ADANIGREEN,ADANIGREEN26FEB950PE,95000,PE,20260224,NSE,600,5
1079394,HDFCBANK,HDFCBANK26FEB850CE,85000,CE,20260224,NSE,550,5
1079395,HDFCBANK,HDFCBANK26FEB850PE,85000,PE,20260224,NSE,550,5
1148514,HDFCBANK,HDFCBANK26FEB855CE,85500,CE,20260224,NSE,550,5
1148515,HDFCBANK,HDFCBANK26FEB855PE,85500,PE,20260224,NSE,550,5
1079396,HDFCBANK,HDFCBANK26FEB860CE,86000,CE,20260224,NSE,550,5
1079397,HDFCBANK,HDFCBANK26FEB860PE,86000,PE,20260224,NSE,550,5
1148516,HDFCBANK,HDFCBANK26FEB865CE,86500,CE,20260224,NSE,550,5
1148517,HDFCBANK,HDFCBANK26FEB865PE,86500,PE,20260224,NSE,550,5
1079398,HDFCBANK,HDFCBANK26FEB870CE,87000,CE,20260224,NSE,550,5
1079399,HDFCBANK,HDFCBANK26FEB870PE,87000,PE,20260224,NSE,550,5
1148518,HDFCBANK,HDFCBANK26FEB875CE,87500,CE,20260224,NSE,550,5
1148519,HDFCBANK,HDFCBANK26FEB875PE,87500,PE,20260224,NSE,550,5
1079400,HDFCBANK,HDFCBANK26FEB880CE,88000,CE,20260224,NSE,550,5
1079401,HDFCBANK,HDFCBANK26FEB880PE,88000,PE,20260224,NSE,550,5
1148520,HDFCBANK,HDFCBANK26FEB885CE,88500,CE,20260224,NSE,550,5
1148521,HDFCBANK,HDFCBANK26FEB885PE,88500,PE,20260224,NSE,550,5
1079402,HDFCBANK,HDFCBANK26FEB890CE,89000,CE,20260224,NSE,550,5
1079403,HDFCBANK,HDFCBANK26FEB890PE,89000,PE,20260224,NSE,550,5
1148522,HDFCBANK,HDFCBANK26FEB895CE,89500,CE,20260224,NSE,550,5
1148523,HDFCBANK,HDFCBANK26FEB895PE,89500,PE,20260224,NSE,550,5
1079404,HDFCBANK,HDFCBANK26FEB900CE,90000,CE,20260224,NSE,550,5
1079405,HDFCBANK,HDFCBANK26FEB900PE,90000,PE,20260224,NSE,550,5
1148524,HDFCBANK,HDFCBANK26FEB905CE,90500,CE,20260224,NSE,550,5
1148525,HDFCBANK,HDFCBANK26FEB905PE,90500,PE,20260224,NSE,550,5
1079406,HDFCBANK,HDFCBANK26FEB910CE,91000,CE,20260224,NSE,550,5
1079407,HDFCBANK,HDFCBANK26FEB910PE,91000,PE,20260224,NSE,550,5
1148526,HDFCBANK,HDFCBANK26FEB915CE,91500,CE,20260224,NSE,550,5
1148527,HDFCBANK,HDFCBANK26FEB915PE,91500,PE,20260224,NSE,550,5
1079408,HDFCBANK,HDFCBANK26FEB920CE,92000,CE,20260224,NSE,550,5
1079409,HDFCBANK,HDFCBANK26FEB920PE,92000,PE,20260224,NSE,550,5
1148528,HDFCBANK,HDFCBANK26FEB925CE,92500,CE,20260224,NSE,550,5
1148529,HDFCBANK,HDFCBANK26FEB925PE,92500,PE,20260224,NSE,550,5
1079410,HDFCBANK,HDFCBANK26FEB930CE,93000,CE,20260224,NSE,550,5
1079411,HDFCBANK,HDFCBANK26FEB930PE,93000,PE,20260224,NSE,550,5
1148530,HDFCBANK,HDFCBANK26FEB935CE,93500,CE,20260224,NSE,550,5
1148531,HDFCBANK,HDFCBANK26FEB935PE,93500,PE,20260224,NSE,550,5
1079412,HDFCBANK,HDFCBANK26FEB940CE,94000,CE,20260224,NSE,550,5
1079413,HDFCBANK,HDFCBANK26FEB940PE,94000,PE,20260224,NSE,550,5
1148532,HDFCBANK,HDFCBANK26FEB945CE,94500,CE,20260224,NSE,550,5
1148533,HDFCBANK,HDFCBANK26FEB945PE,94500,PE,20260224,NSE,550,5
1079414,HDFCBANK,HDFCBANK26FEB950CE,95000,CE,20260224,NSE,550,5
1079415,HDFCBANK,HDFCBANK26FEB950PE,95000,PE,20260224,NSE,550,5
1190162,KOTAKBANK,KOTAKBANK26FEB350CE,35000,CE,20260224,NSE,2000,5
1190163,KOTAKBANK,KOTAKBANK26FEB350PE,35000,PE,20260224,NSE,2000,5
1190164,KOTAKBANK,KOTAKBANK26FEB352.5CE,35250,CE,20260224,NSE,2000,5
1190165,KOTAKBANK,KOTAKBANK26FEB352.5PE,35250,PE,20260224,NSE,2000,5
1190166,KOTAKBANK,KOTAKBANK26FEB355CE,35500,CE,20260224,NSE,2000,5
1190167,KOTAKBANK,KOTAKBANK26FEB355PE,35500,PE,20260224,NSE,2000,5
1190168,KOTAKBANK,KOTAKBANK26FEB357.5CE,35750,CE,20260224,NSE,2000,5
1190169,KOTAKBANK,KOTAKBANK26FEB357.5PE,35750,PE,20260224,NSE,2000,5
1188122,KOTAKBANK,KOTAKBANK26FEB360CE,36000,CE,20260224,NSE,2000,5
1188123,KOTAKBANK,KOTAKBANK26FEB360PE,36000,PE,20260224,NSE,2000,5
1190170,KOTAKBANK,KOTAKBANK26FEB362.5CE,36250,CE,20260224,NSE,2000,5
1190171,KOTAKBANK,KOTAKBANK26FEB362.5PE,36250,PE,20260224,NSE,2000,5
1190172,KOTAKBANK,KOTAKBANK26FEB365CE,36500,CE,20260224,NSE,2000,5
1190173,KOTAKBANK,KOTAKBANK26FEB365PE,36500,PE,20260224,NSE,2000,5
1190174,KOTAKBANK,KOTAKBANK26FEB367.5CE,36750,CE,20260224,NSE,2000,5
1190175,KOTAKBANK,KOTAKBANK26FEB367.5PE,36750,PE,20260224,NSE,2000,5
1188125,KOTAKBANK,KOTAKBANK26FEB368PE,36800,PE,20260224,NSE,2000,5
1190176,KOTAKBANK,KOTAKBANK26FEB370CE,37000,CE,20260224,NSE,2000,5
1190177,KOTAKBANK,KOTAKBANK26FEB370PE,37000,PE,20260224,NSE,2000,5
1190178,KOTAKBANK,KOTAKBANK26FEB372.5CE,37250,CE,20260224,NSE,2000,5
1190179,KOTAKBANK,KOTAKBANK26FEB372.5PE,37250,PE,20260224,NSE,2000,5
1190180,KOTAKBANK,KOTAKBANK26FEB375CE,37500,CE,20260224,NSE,2000,5
1190181,KOTAKBANK,KOTAKBANK26FEB375PE,37500,PE,20260224,NSE,2000,5
1188126,KOTAKBANK,KOTAKBANK26FEB376CE,37600,CE,20260224,NSE,2000,5
1188127,KOTAKBANK,KOTAKBANK26FEB376PE,37600,PE,20260224,NSE,2000,5
1190182,KOTAKBANK,KOTAKBANK26FEB377.5CE,37750,CE,20260224,NSE,2000,5
1190183,KOTAKBANK,KOTAKBANK26FEB377.5PE,37750,PE,20260224,NSE,2000,5
1188204,KOTAKBANK,KOTAKBANK26FEB380CE,38000,CE,20260224,NSE,2000,5
1188205,KOTAKBANK,KOTAKBANK26FEB380PE,38000,PE,20260224,NSE,2000,5
1190184,KOTAKBANK,KOTAKBANK26FEB382.5CE,38250,CE,20260224,NSE,2000,5
1190185,KOTAKBANK,KOTAKBANK26FEB382.5PE,38250,PE,20260224,NSE,2000,5
1188128,KOTAKBANK,KOTAKBANK26FEB384CE,38400,CE,20260224,NSE,2000,5
1188129,KOTAKBANK,KOTAKBANK26FEB384PE,38400,PE,20260224,NSE,2000,5
1190186,KOTAKBANK,KOTAKBANK26FEB385CE,38500,CE,20260224,NSE,2000,5
1190187,KOTAKBANK,KOTAKBANK26FEB385PE,38500,PE,20260224,NSE,2000,5
1190188,KOTAKBANK,KOTAKBANK26FEB387.5CE,38750,CE,20260224,NSE,2000,5
1190189,KOTAKBANK,KOTAKBANK26FEB387.5PE,38750,PE,20260224,NSE,2000,5
1188206,KOTAKBANK,KOTAKBANK26FEB388CE,38800,CE,20260224,NSE,2000,5
1188207,KOTAKBANK,KOTAKBANK26FEB388PE,38800,PE,20260224,NSE,2000,5
1190190,KOTAKBANK,KOTAKBANK26FEB390CE,39000,CE,20260224,NSE,2000,5
1190191,KOTAKBANK,KOTAKBANK26FEB390PE,39000,PE,20260224,NSE,2000,5
1188130,KOTAKBANK,KOTAKBANK26FEB392CE,39200,CE,20260224,NSE,2000,5
1188131,KOTAKBANK,KOTAKBANK26FEB392PE,39200,PE,20260224,NSE,2000,5
1190192,KOTAKBANK,KOTAKBANK26FEB392.5CE,39250,CE,20260224,NSE,2000,5
1190193,KOTAKBANK,KOTAKBANK26FEB392.5PE,39250,PE,20260224,NSE,2000,5
1190194,KOTAKBANK,KOTAKBANK26FEB395CE,39500,CE,20260224,NSE,2000,5
1190195,KOTAKBANK,KOTAKBANK26FEB395PE,39500,PE,20260224,NSE,2000,5
1188209,KOTAKBANK,KOTAKBANK26FEB396PE,39600,PE,20260224,NSE,2000,5
1190196,KOTAKBANK,KOTAKBANK26FEB397.5CE,39750,CE,20260224,NSE,2000,5
1190197,KOTAKBANK,KOTAKBANK26FEB397.5PE,39750,PE,20260224,NSE,2000,5
1188132,KOTAKBANK,KOTAKBANK26FEB400CE,40000,CE,20260224,NSE,2000,5
1188133,KOTAKBANK,KOTAKBANK26FEB400PE,40000,PE,20260224,NSE,2000,5
1190198,KOTAKBANK,KOTAKBANK26FEB402.5CE,40250,CE,20260224,NSE,2000,5
1190199,KOTAKBANK,KOTAKBANK26FEB402.5PE,40250,PE,20260224,NSE,2000,5
1188210,KOTAKBANK,KOTAKBANK26FEB404CE,40400,CE,20260224,NSE,2000,5
1188211,KOTAKBANK,KOTAKBANK26FEB404PE,40400,PE,20260224,NSE,2000,5
